source_document,supplier_name,product_name,model_or_sku,inn,price_per_unit,currency,unit_of_measure,units_per_pack,price_per_pack,price_basis,derivation_note,overall_confidence,field_confidence,review_flags,extractor,source_locator
mekong_pharma_quotation_MKP-2026-0812.pdf,Mekong Pharma JSC,Vermaben 400,,Albendazole,0.0223,USD,tablet,1,0.0223,stated,,high,price_per_unit=high (model-reported); model_or_sku=medium (no SKU or item code in source),,pdf,"page 1, line 2"
mekong_pharma_quotation_MKP-2026-0812.pdf,Mekong Pharma JSC,Salvent HFA,,Salbutamol sulfate,1.42,USD,inhaler,1,1.42,stated,,high,price_per_unit=high (model-reported); model_or_sku=medium (no SKU or item code in source),,pdf,"page 1, line 3"
mekong_pharma_quotation_MKP-2026-0812.pdf,Mekong Pharma JSC,Mekatri 300/300/50,,Tenofovir disoproxil fumarate + Lamivudine + Dolutegravir,0.0428,USD,tablet,30,1.284,stated,,high,price_per_unit=high (model-reported); model_or_sku=medium (no SKU or item code in source),,pdf,"page 1, line 4"
mekong_pharma_quotation_MKP-2026-0812.pdf,Mekong Pharma JSC,Ferrofol 60/0.4,,Ferrous sulfate + Folic acid,0.00485,USD,tablet,1000,4.85,stated,,high,price_per_unit=high (model-reported); model_or_sku=medium (no SKU or item code in source),,pdf,"page 1, line 5"
sanova_offer_export_2026-08-03.json,Sanova Laboratories Pvt. Ltd.,Sanotri-TLD,SNV-TLD-90,"Tenofovir disoproxil fumarate, Lamivudine, Dolutegravir",0.035,EUR,tablet,90,3.15,derived,3.15 per pack / 90 tablet per pack,medium,"price_per_unit=medium (derived from pack price, not stated in source)",,structured_json,offer.products[0]
sanova_offer_export_2026-08-03.json,Sanova Laboratories Pvt. Ltd.,Sanofour Kit,SNV-RIF-HRZE,"Rifampicin, Isoniazid, Pyrazinamide, Ethambutol",0.01253,EUR,tablet,672,8.42,derived,8.42 per pack / 672 tablet per pack,medium,"price_per_unit=medium (derived from pack price, not stated in source)",Pack is a treatment course (Patient kit for one intensive-phase course) - per-unit price may not be the right basis for comparison,structured_json,offer.products[1]
sanova_offer_export_2026-08-03.json,Sanova Laboratories Pvt. Ltd.,Sanodip 5,SNV-AMLO-5,Amlodipine besylate,0.0104,EUR,tablet,30,0.312,derived,0.312 per pack / 30 tablet per pack,medium,"price_per_unit=medium (derived from pack price, not stated in source)",,structured_json,offer.products[2]
scan_02_lowres_fax_andina_p1.png,Farmaceutica Andina S.A.S.,Dolostop 500,01,Paracetamol,0.0091,USD,tablet,20,,inferred,,low,"price_per_unit=low (Unit price 0.0091 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order.)","Unit price 0.0091 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order. | Read from a degraded scan - confirm against the source document",image,"page 1, schedule item 01"
scan_02_lowres_fax_andina_p1.png,Farmaceutica Andina S.A.S.,Amlodin 5,02,Amlodipine besylate,0.0128,USD,tablet,30,,inferred,,low,"price_per_unit=low (Unit price 0.0128 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order.)","Unit price 0.0128 is the list price before the 3.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order. | Read from a degraded scan - confirm against the source document",image,"page 1, schedule item 02"
scan_02_lowres_fax_andina_p1.png,Farmaceutica Andina S.A.S.,Losandina 50,03,Losartan potassium,0.0205,USD,tablet,30,,inferred,,low,"price_per_unit=low (Unit price 0.0205 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order.)","Unit price 0.0205 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order. | Read from a degraded scan - confirm against the source document",image,"page 1, schedule item 03"
scan_02_lowres_fax_andina_p1.png,Farmaceutica Andina S.A.S.,Amoxidina 250/5,04,Amoxicillin trihydrate,0.345,USD,bottle,1,,inferred,,low,"price_per_unit=low (Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order.)","Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order. | Read from a degraded scan - confirm against the source document",image,"page 1, schedule item 04"
scan_02_lowres_fax_andina_p1.png,Farmaceutica Andina S.A.S.,Enalten 10,05,Enalapril maleate,0.0074,USD,tablet,500,,inferred,,low,"price_per_unit=low (Unit price 0.0074 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order.)","Unit price 0.0074 is the list price before the 5.0% discount shown in the Disc. % column; net is not stated separately Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order. | Read from a degraded scan - confirm against the source document",image,"page 1, schedule item 05"
scan_02_lowres_fax_andina_p1.png,Farmaceutica Andina S.A.S.,Salbudina 2/5,06,Salbutamol sulfate,0.412,USD,bottle,1,,inferred,,low,"price_per_unit=low (Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order.)","Low-resolution fax scan; the unit price column sits visually above its row, so row association was inferred from the item order. | Read from a degraded scan - confirm against the source document",image,"page 1, schedule item 06"
scan_03_glare_partial_andina_p1.jpg,Farmaceutica Andina S.A.S.,Dolostop 500,01,Paracetamol,,USD,tablet,20,,inferred,,low,price_per_unit=low (Unit price obscured by glare - not readable.); price_per_unit=low (no unit price and no pack size to derive from),Unit price obscured by glare - not readable. | Read from a degraded scan - confirm against the source document | Unit price could not be established,image,schedule item 01
scan_03_glare_partial_andina_p1.jpg,Farmaceutica Andina S.A.S.,Amlodin 5,02,Amlodipine besylate,,USD,tablet,30,,inferred,,low,price_per_unit=low (Unit price obscured by glare - not readable.); price_per_unit=low (no unit price and no pack size to derive from),Unit price obscured by glare - not readable. | Read from a degraded scan - confirm against the source document | Unit price could not be established,image,schedule item 02
scan_03_glare_partial_andina_p1.jpg,Farmaceutica Andina S.A.S.,Losandina 50,03,Losartan potassium,,USD,tablet,30,,inferred,,low,price_per_unit=low (Unit price obscured by glare - not readable.); price_per_unit=low (no unit price and no pack size to derive from),Unit price obscured by glare - not readable. | Read from a degraded scan - confirm against the source document | Unit price could not be established,image,schedule item 03
scan_03_glare_partial_andina_p1.jpg,Farmaceutica Andina S.A.S.,Amoxidina 250/5,04,Amoxicillin trihydrate,0.345,USD,bottle,1,,inferred,,low,price_per_unit=low (Legible below the glare band; verify against the source PDF.),Legible below the glare band; verify against the source PDF. | Read from a degraded scan - confirm against the source document,image,schedule item 04
scan_03_glare_partial_andina_p1.jpg,Farmaceutica Andina S.A.S.,Enalten 10,05,Enalapril maleate,0.0074,USD,tablet,500,,inferred,,low,price_per_unit=low (Legible below the glare band; verify against the source PDF.),Legible below the glare band; verify against the source PDF. | Read from a degraded scan - confirm against the source document,image,schedule item 05
scan_03_glare_partial_andina_p1.jpg,Farmaceutica Andina S.A.S.,Salbudina 2/5,06,Salbutamol sulfate,0.412,USD,bottle,1,,inferred,,low,price_per_unit=low (Legible below the glare band; verify against the source PDF.),Legible below the glare band; verify against the source PDF. | Read from a degraded scan - confirm against the source document,image,schedule item 06
ubuntu_health_price_list_Q3-2026.json,Ubuntu Health Manufacturing (Pty) Ltd,Panadel 500,UHM-PARA-500,Paracetamol,0.0415,ZAR,tablet,1000,41.5,derived,41.5 per pack / 1000 tablet per pack,medium,"price_per_unit=medium (volume-tiered price, tier 1 taken (tier 1: 41.5 from 100 packs, tier 2: 37.9 from 1000 packs, tier 3: 34.2 from 5000 packs)); price_per_unit=medium (derived from pack price, not stated in source)","Tiered pricing - confirm the volume band before comparing | Catalogue note: Volume tiers apply per line item, per calendar quarter. Prices exclude 15% VAT where applicable.",structured_json,products[0].price_tiers[tier=1]
ubuntu_health_price_list_Q3-2026.json,Ubuntu Health Manufacturing (Pty) Ltd,Ubucef 1 g,UHM-CEFTX-1G,Ceftriaxone sodium,17.8,ZAR,vial,10,178.0,derived,178.0 per pack / 10 vial per pack,medium,"price_per_unit=medium (volume-tiered price, tier 1 taken (tier 1: 178.0 from 500 packs, tier 2: 161.5 from 5000 packs)); price_per_unit=medium (derived from pack price, not stated in source)","Tiered pricing - confirm the volume band before comparing | Catalogue note: Volume tiers apply per line item, per calendar quarter. Prices exclude 15% VAT where applicable.",structured_json,products[1].price_tiers[tier=1]
ubuntu_health_price_list_Q3-2026.json,Ubuntu Health Manufacturing (Pty) Ltd,Misotab 200,UHM-MISO-200,Misoprostol,1.6125,ZAR,tablet,60,96.75,derived,96.75 per pack / 60 tablet per pack,medium,"price_per_unit=medium (volume-tiered price, tier 1 taken (tier 1: 96.75 from 200 packs, tier 2: 88.4 from 2000 packs)); price_per_unit=medium (derived from pack price, not stated in source)","Tiered pricing - confirm the volume band before comparing | Catalogue note: Volume tiers apply per line item, per calendar quarter. Prices exclude 15% VAT where applicable.",structured_json,products[2].price_tiers[tier=1]
ubuntu_health_price_list_Q3-2026.json,Ubuntu Health Manufacturing (Pty) Ltd,Ubuglar 100,UHM-INSGLA-100,Insulin glargine,122.4,ZAR,pen,5,612.0,derived,612.0 per pack / 5 pen per pack,medium,"price_per_unit=medium (volume-tiered price, tier 1 taken (tier 1: 612.0 from 250 packs, tier 2: 559.0 from 2500 packs)); price_per_unit=medium (derived from pack price, not stated in source)","Tiered pricing - confirm the volume band before comparing | Catalogue note: Volume tiers apply per line item, per calendar quarter. Prices exclude 15% VAT where applicable.",structured_json,products[3].price_tiers[tier=1]
zenith_pharma_quotation_ZPL-Q-2026-4471.json,Zenith Pharma,Zenamox 500/125,,Amoxicillin + Clavulanic acid,0.0642,USD,tablet,14,0.899,stated,,high,price_per_unit=high (stated explicitly as price_per_uom); model_or_sku=medium (no SKU or item code in source),,structured_json,line_items[1]
zenith_pharma_quotation_ZPL-Q-2026-4471.json,Zenith Pharma,Artezen-20/120,,Artemether + Lumefantrine,0.0398,USD,tablet,24,0.955,stated,,high,price_per_unit=high (stated explicitly as price_per_uom); model_or_sku=medium (no SKU or item code in source),,structured_json,line_items[2]
zenith_pharma_quotation_ZPL-Q-2026-4471.json,Zenith Pharma,Metzen XR 1000,,Metformin hydrochloride,0.0215,USD,tablet,60,1.29,stated,,high,price_per_unit=high (stated explicitly as price_per_uom); model_or_sku=medium (no SKU or item code in source),,structured_json,line_items[3]
zenith_pharma_quotation_ZPL-Q-2026-4471.json,Zenith Pharma,Oxyzen 10 IU/mL,,Oxytocin,0.128,USD,ampoule,10,1.28,stated,,high,price_per_unit=high (stated explicitly as price_per_uom); model_or_sku=medium (no SKU or item code in source),,structured_json,line_items[4]
